date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:50:41	78813/78813	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202024%2016:20:40%20GMT	https://marielunderground.com/	/home/yash/websites/work/marielunderground.com/index.html	(from )
21:50:41	116/116	---M-Z	200	added ('OK')	text/plain	date:Wed,%2006%20Mar%202024%2016:20:40%20GMT	https://marielunderground.com/robots.txt		(from )
21:50:42	83419/83419	---M-Z	200	added ('OK')	text/css	etag:%225183576-145db-5db6ddf21b640-gzip%22	https://marielunderground.com/wp-includes/css/dist/block-library/style.min.css?ver=5.9.9	/home/yash/websites/work/marielunderground.com/wp-includes/css/dist/block-library/style.min4dc9.css	(from https://marielunderground.com/)
21:50:42	49935/49935	---M-Z	200	added ('OK')	text/css	etag:%226081ce8-c30f-5d8ec3542b940-gzip%22	https://marielunderground.com/wp-content/themes/salient/css/font-awesome-legacy.min.css?ver=1654814882	/home/yash/websites/work/marielunderground.com/wp-content/themes/salient/css/font-awesome-legacy.min4b3b.css	(from https://marielunderground.com/)
21:50:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Mar%202024%2016:20:43%20GMT	http://s.w.org/	/home/yash/websites/work/s.w.org/index.html	(from https://marielunderground.com/)
21:50:43	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Mar%202024%2016:20:43%20GMT	http://fonts.googleapis.com/	/home/yash/websites/work/fonts.googleapis.com/index.html	(from https://marielunderground.com/)
21:50:43	1669/1669	---M-Z	200	added ('OK')	application/rss+xml	etag:%225c490ebabd96b8a6a4686aeb604d85ad-gzip%22	https://marielunderground.com/comments/feed/	/home/yash/websites/work/marielunderground.com/comments/feed/index.html	(from https://marielunderground.com/)
21:50:43	21122/21122	---M-Z	200	added ('OK')	application/rss+xml	etag:%22cfd300dba65f41c87f322ff015bd05fc-gzip%22	https://marielunderground.com/feed/	/home/yash/websites/work/marielunderground.com/feed/index.html	(from https://marielunderground.com/)
21:50:44	21642/21642	---M-Z	200	added ('OK')	text/css	etag:%226081cb4-548a-5d8ec35337700-gzip%22	https://marielunderground.com/wp-content/themes/salient/css/build/grid-system.css?ver=1654814882	/home/yash/websites/work/marielunderground.com/wp-content/themes/salient/css/build/grid-system4b3b.css	(from https://marielunderground.com/)
21:50:45	215823/215823	---M-Z	200	added ('OK')	text/css	etag:%226081cd9-34b0f-5d8ec35337700-gzip%22	https://marielunderground.com/wp-content/themes/salient/css/build/style.css?ver=1654814882	/home/yash/websites/work/marielunderground.com/wp-content/themes/salient/css/build/style4b3b.css	(from https://marielunderground.com/)
21:50:46	725/725	---M-Z	200	added ('OK')	application/rss+xml	etag:%225c490ebabd96b8a6a4686aeb604d85ad-gzip%22	https://marielunderground.com/joe-2/feed/	/home/yash/websites/work/marielunderground.com/joe-2/feed/index.html	(from https://marielunderground.com/)
21:50:46	862/862	---M-Z	200	added ('OK')	text/css	etag:%226081cbc-35e-5d8ec35337700-gzip%22	https://marielunderground.com/wp-content/themes/salient/css/build/header/header-layout-menu-left-aligned.css?ver=1654814882	/home/yash/websites/work/marielunderground.com/wp-content/themes/salient/css/build/header/header-layout-menu-left-aligned4b3b.css	(from https://marielunderground.com/)
21:50:47	10558/10558	---M-Z	200	added ('OK')	text/css	etag:%226081cbd-293e-5d8ec35337700-gzip%22	https://marielunderground.com/wp-content/themes/salient/css/build/header/header-perma-transparent.css?ver=1654814882	/home/yash/websites/work/marielunderground.com/wp-content/themes/salient/css/build/header/header-perma-transparent4b3b.css	(from https://marielunderground.com/)
21:50:48	11383/11383	---M-Z	200	added ('OK')	text/css	etag:%226081c95-2c77-5d8ec35337700-gzip%22	https://marielunderground.com/wp-content/themes/salient/css/build/elements/element-fancy-box.css?ver=1654814882	/home/yash/websites/work/marielunderground.com/wp-content/themes/salient/css/build/elements/element-fancy-box4b3b.css	(from https://marielunderground.com/)
21:50:49	2057/2057	---M-Z	200	added ('OK')	text/css	etag:%226081ca0-809-5d8ec35337700-gzip%22	https://marielunderground.com/wp-content/themes/salient/css/build/elements/element-morphing-outline.css?ver=1654814882	/home/yash/websites/work/marielunderground.com/wp-content/themes/salient/css/build/elements/element-morphing-outline4b3b.css	(from https://marielunderground.com/)
21:50:51	984/984	---MC-	200	added ('OK')	text/css	date:Wed,%2006%20Mar%202024%2016:20:50%20GMT	https://fonts.googleapis.com/css?family=Open+Sans%3A300%2C400%2C600%2C700&subset=latin%2Clatin-ext	/home/yash/websites/work/fonts.googleapis.com/cssb681.css	(from https://marielunderground.com/)
21:50:51	39267/39267	---M-Z	200	added ('OK')	text/css	etag:%226081cd3-9963-5d8ec35337700-gzip%22	https://marielunderground.com/wp-content/themes/salient/css/build/responsive.css?ver=1654814882	/home/yash/websites/work/marielunderground.com/wp-content/themes/salient/css/build/responsive4b3b.css	(from https://marielunderground.com/)
21:50:52	51946/51946	---M-Z	200	added ('OK')	text/css	etag:%226081c86-caea-5d8ec35337700-gzip%22	https://marielunderground.com/wp-content/themes/salient/css/build/ascend.css?ver=1654814882	/home/yash/websites/work/marielunderground.com/wp-content/themes/salient/css/build/ascend4b3b.css	(from https://marielunderground.com/)
21:50:53	3598/3598	---M-Z	200	added ('OK')	text/css	etag:%2264e0503-e0e-6115e6bf8961a-gzip%22	https://marielunderground.com/wp-content/uploads/salient/menu-dynamic.css?ver=48409	/home/yash/websites/work/marielunderground.com/wp-content/uploads/salient/menu-dynamic3f58.css	(from https://marielunderground.com/)
21:50:54	39738/39738	---M-Z	200	added ('OK')	text/css	etag:%225162d97-9b3a-5d8ec37d2da00-gzip%22	https://marielunderground.com/wp-content/plugins/js_composer_salient/assets/css/js_composer.min.css?ver=6.7.1	/home/yash/websites/work/marielunderground.com/wp-content/plugins/js_composer_salient/assets/css/js_composer.min9704.css	(from https://marielunderground.com/)
21:50:55	154687/154687	---M-Z	200	added ('OK')	text/css	etag:%226081ff7-25c3f-5de2e4187ce49-gzip%22	https://marielunderground.com/wp-content/themes/salient/css/salient-dynamic-styles.css?ver=1654814882	/home/yash/websites/work/marielunderground.com/wp-content/themes/salient/css/salient-dynamic-styles4b3b.css	(from https://marielunderground.com/)
21:50:57	668/668	---MC-	200	added ('OK')	text/css	date:Wed,%2006%20Mar%202024%2016:20:56%20GMT	https://fonts.googleapis.com/css?family=Playfair+Display%3A400%2C400italic%7CMontserrat%3A700&subset=latin&ver=1651645615	/home/yash/websites/work/fonts.googleapis.com/css0a04.css	(from https://marielunderground.com/)
21:50:57	89521/89521	---M-Z	200	added ('OK')	application/javascript	etag:%2251a2bca-15db1-5bd3006388300-gzip%22	https://marielunderground.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	/home/yash/websites/work/marielunderground.com/wp-includes/js/jquery/jquery.minaf6c.js	(from https://marielunderground.com/)
21:50:58	11224/11224	---M-Z	200	added ('OK')	application/javascript	etag:%2251a2ba8-2bd8-5b45debe27b80-gzip%22	https://marielunderground.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	/home/yash/websites/work/marielunderground.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://marielunderground.com/)
21:51:00	21834/21834	---MC-	200	added ('OK')	application/json	date:Wed,%2006%20Mar%202024%2016:20:59%20GMT	https://marielunderground.com/wp-json/wp/v2/pages/6453	/home/yash/websites/work/marielunderground.com/wp-json/wp/v2/pages/6453.json	(from https://marielunderground.com/)
21:51:01	840/840	---M-Z	200	added ('OK')	text/xml	date:Wed,%2006%20Mar%202024%2016:21:01%20GMT	https://marielunderground.com/xmlrpc.php?rsd	/home/yash/websites/work/marielunderground.com/xmlrpc0db0.php	(from https://marielunderground.com/)
21:51:02	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%225183899-415-4ed4785da9bc0-gzip%22	https://marielunderground.com/wp-includes/wlwmanifest.xml	/home/yash/websites/work/marielunderground.com/wp-includes/wlwmanifest.xml	(from https://marielunderground.com/)
21:51:03	161935/161935	---MC-	200	added ('OK')	application/json	date:Wed,%2006%20Mar%202024%2016:21:01%20GMT	https://marielunderground.com/wp-json/	/home/yash/websites/work/marielunderground.com/wp-json/index.html	(from https://marielunderground.com/)
21:51:04	2394/2394	---MC-	200	added ('OK')	application/json	date:Wed,%2006%20Mar%202024%2016:21:03%20GMT	https://marielunderground.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmarielunderground.com%2F	/home/yash/websites/work/marielunderground.com/wp-json/oembed/1.0/embed007c.json	(from https://marielunderground.com/)
21:51:04	2462/2462	---M-Z	200	added ('OK')	text/xml	date:Wed,%2006%20Mar%202024%2016:21:04%20GMT	https://marielunderground.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmarielunderground.com%2F&format=xml	/home/yash/websites/work/marielunderground.com/wp-json/oembed/1.0/embed00dc	(from https://marielunderground.com/)
21:51:05	468/468	---M--	200	added ('OK')	image/png	etag:%2265e2441-1d4-5ddb858a0aef9%22	https://marielunderground.com/wp-content/uploads/2022/04/cropped-Mariel_Underground_Icon-32x32.png	/home/yash/websites/work/marielunderground.com/wp-content/uploads/2022/04/cropped-Mariel_Underground_Icon-32x32.png	(from https://marielunderground.com/)
21:51:06	6996/6996	---M--	200	added ('OK')	image/png	etag:%2265e243f-1b54-5ddb8589feba8%22	https://marielunderground.com/wp-content/uploads/2022/04/cropped-Mariel_Underground_Icon-192x192.png	/home/yash/websites/work/marielunderground.com/wp-content/uploads/2022/04/cropped-Mariel_Underground_Icon-192x192.png	(from https://marielunderground.com/)
21:51:07	6244/6244	---M--	200	added ('OK')	image/png	etag:%2265e2440-1864-5ddb858a08bd1%22	https://marielunderground.com/wp-content/uploads/2022/04/cropped-Mariel_Underground_Icon-180x180.png	/home/yash/websites/work/marielunderground.com/wp-content/uploads/2022/04/cropped-Mariel_Underground_Icon-180x180.png	(from https://marielunderground.com/)
21:51:09	61971/61971	---M--	200	added ('OK')	image/png	etag:%2264c191c-f213-5d9abf9321fc0%22	https://marielunderground.com//wp-content/uploads/2022/03/UG-Logo-Stack.png	/home/yash/websites/work/marielunderground.com/wp-content/uploads/2022/03/UG-Logo-Stack.png	(from https://marielunderground.com/)
21:51:09	16499/16499	---M--	200	added ('OK')	image/png	etag:%2264c1873-4073-5dabf3cf74500%22	https://marielunderground.com/wp-content/uploads/2022/03/Mariel_color-700.png	/home/yash/websites/work/marielunderground.com/wp-content/uploads/2022/03/Mariel_color-700.png	(from https://marielunderground.com/)
21:51:55	710130/710130	---M--	200	added ('OK')	image/jpeg	etag:%2264c195b-ad5f2-5d993a40898c0%22	http://marielunderground.com/wp-content/uploads/2022/03/underground-01-scaled.jpg	/home/yash/websites/work/marielunderground.com/wp-content/uploads/2022/03/underground-01-scaled.jpg	(from https://marielunderground.com/)
21:51:55	393944/393944	---MCZ	200	added ('OK')	application/javascript	etag:W/%2252b118a0003d0ff483f8cda75a02af0b%22	https://venues.tablelistpro.com/widgets/embedded/tablelist-widgets-core.min.js	/home/yash/websites/work/venues.tablelistpro.com/widgets/embedded/embed.js	(from https://marielunderground.com/)
21:59:16	2353839/2353839	---M--	200	added ('OK')	image/jpeg	etag:%2264c1766-23eaaf-5d8f08edaae00%22	https://marielunderground.com/wp-content/uploads/2022/02/Food.jpg	/home/yash/websites/work/marielunderground.com/wp-content/uploads/2022/02/Food.jpg	(from https://marielunderground.com/)
22:06:39	9955426/9955426	---M--	200	added ('OK')	application/pdf	etag:%226601a1d-97e862-6115e68ae2a1b%22	http://marielunderground.com/wp-content/uploads/2024/02/Underground-Dinner-Menu.pdf	/home/yash/websites/work/marielunderground.com/wp-content/uploads/2024/02/Underground-Dinner-Menu.pdf	(from https://marielunderground.com/)
22:08:03	2214624/2214624	---M--	200	added ('OK')	image/jpeg	etag:%2265e0137-21cae0-5dde6d8d80482%22	https://marielunderground.com/wp-content/uploads/2022/04/Bottle.jpg	/home/yash/websites/work/marielunderground.com/wp-content/uploads/2022/04/Bottle.jpg	(from https://marielunderground.com/)
22:08:33	755138/755138	---M--	200	added ('OK')	image/jpeg	etag:%2264c1868-b85c2-5dafdf07f2a00%22	https://marielunderground.com/wp-content/uploads/2022/03/2058_002-scaled.jpg	/home/yash/websites/work/marielunderground.com/wp-content/uploads/2022/03/2058_002-scaled.jpg	(from https://marielunderground.com/)
22:08:43	51880/51880	---M-Z	200	added ('OK')	text/css	etag:%2259e2380-caa8-5d8ec37d2da00-gzip%22	https://marielunderground.com/wp-content/plugins/js_composer_salient/assets/lib/bower/animate-css/animate.min.css?ver=6.7.1	/home/yash/websites/work/marielunderground.com/wp-content/plugins/js_composer_salient/assets/lib/bower/animate-css/animate.min9704.css	(from https://marielunderground.com/)
22:08:54	7964/7964	---M-Z	200	added ('OK')	text/css	etag:%226081ccf-1f1c-5d8ec35337700-gzip%22	https://marielunderground.com/wp-content/themes/salient/css/build/plugins/magnific.css?ver=1654814882	/home/yash/websites/work/marielunderground.com/wp-content/themes/salient/css/build/plugins/magnific4b3b.css	(from https://marielunderground.com/)
22:09:04	22510/22510	---M-Z	200	added ('OK')	text/css	etag:%226081cc1-57ee-5d8ec35337700-gzip%22	https://marielunderground.com/wp-content/themes/salient/css/build/off-canvas/core.css?ver=1654814882	/home/yash/websites/work/marielunderground.com/wp-content/themes/salient/css/build/off-canvas/core4b3b.css	(from https://marielunderground.com/)
22:09:12	9258/9258	---M-Z	200	added ('OK')	text/css	etag:%226081cc2-242a-5d8ec35337700-gzip%22	https://marielunderground.com/wp-content/themes/salient/css/build/off-canvas/fullscreen-legacy.css?ver=1654814882	/home/yash/websites/work/marielunderground.com/wp-content/themes/salient/css/build/off-canvas/fullscreen-legacy4b3b.css	(from https://marielunderground.com/)
22:09:22	2392/2392	---M-Z	200	added ('OK')	application/javascript	etag:%226082129-958-5d8ec3542b940-gzip%22	https://marielunderground.com/wp-content/themes/salient/js/build/third-party/jquery.easing.min.js?ver=1654814882	/home/yash/websites/work/marielunderground.com/wp-content/themes/salient/js/build/third-party/jquery.easing.min4b3b.js	(from https://marielunderground.com/)
22:09:37	2711/2711	---M-Z	200	added ('OK')	application/javascript	etag:%22608212c-a97-5d8ec3542b940-gzip%22	https://marielunderground.com/wp-content/themes/salient/js/build/third-party/jquery.mousewheel.min.js?ver=1654814882	/home/yash/websites/work/marielunderground.com/wp-content/themes/salient/js/build/third-party/jquery.mousewheel.min4b3b.js	(from https://marielunderground.com/)
22:09:49	1880/1880	---M-Z	200	added ('OK')	application/javascript	etag:%22608211d-758-5d8ec3542b940-gzip%22	https://marielunderground.com/wp-content/themes/salient/js/build/priority.js?ver=1654814882	/home/yash/websites/work/marielunderground.com/wp-content/themes/salient/js/build/priority4b3b.js	(from https://marielunderground.com/)
22:09:58	7416/7416	---M-Z	200	added ('OK')	application/javascript	etag:%226082138-1cf8-5d8ec3542b940-gzip%22	https://marielunderground.com/wp-content/themes/salient/js/build/third-party/transit.min.js?ver=1654814882	/home/yash/websites/work/marielunderground.com/wp-content/themes/salient/js/build/third-party/transit.min4b3b.js	(from https://marielunderground.com/)
22:10:01	629619/629619	---M--	200	added ('OK')	image/jpeg	etag:%2264c1913-99b73-5db0032c7ef80%22	https://marielunderground.com/wp-content/uploads/2022/03/Slider-1-scaled.jpg	/home/yash/websites/work/marielunderground.com/wp-content/uploads/2022/03/Slider-1-scaled.jpg	(from https://marielunderground.com/)
22:10:07	8851/8851	---M-Z	200	added ('OK')	application/javascript	etag:%22608213a-2293-5d8ec3542b940-gzip%22	https://marielunderground.com/wp-content/themes/salient/js/build/third-party/waypoints.js?ver=1654814882	/home/yash/websites/work/marielunderground.com/wp-content/themes/salient/js/build/third-party/waypoints4b3b.js	(from https://marielunderground.com/)
22:10:09	65571/65571	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202024%2016:40:02%20GMT	https://marielunderground.com/reservations-2/	/home/yash/websites/work/marielunderground.com/reservations-2/index.html	(from https://marielunderground.com/)
22:10:15	5594/5594	---M-Z	200	added ('OK')	application/javascript	etag:%2260819e9-15da-5d8ec37e21c40-gzip%22	https://marielunderground.com/wp-content/plugins/salient-portfolio/js/third-party/imagesLoaded.min.js?ver=4.1.4	/home/yash/websites/work/marielunderground.com/wp-content/plugins/salient-portfolio/js/third-party/imagesLoaded.mineda1.js	(from https://marielunderground.com/)
22:10:25	2245/2245	---M-Z	200	added ('OK')	application/javascript	etag:%226082124-8c5-5d8ec3542b940-gzip%22	https://marielunderground.com/wp-content/themes/salient/js/build/third-party/hoverintent.min.js?ver=1654814882	/home/yash/websites/work/marielunderground.com/wp-content/themes/salient/js/build/third-party/hoverintent.min4b3b.js	(from https://marielunderground.com/)
22:10:33	21205/21205	---M-Z	200	added ('OK')	application/javascript	etag:%22608212f-52d5-5d8ec3542b940-gzip%22	https://marielunderground.com/wp-content/themes/salient/js/build/third-party/magnific.js?ver=1654814882	/home/yash/websites/work/marielunderground.com/wp-content/themes/salient/js/build/third-party/magnific4b3b.js	(from https://marielunderground.com/)
